source,target,weight
ARG,NPL,6833.489309999999
ARG,VCT,101.27427
ARG,CAN,1292215.59542
ARG,ITA,957019.4713499992
ARG,SWZ,24.74053
ARG,PNG,15.66485
ARG,HUN,9645.49425
ARG,KWT,33857.87903
ARG,ISL,1523.1538
ARG,MNG,1210.2319900000002
ARG,MAR,331552.12882000004
ARG,CHL,2404403.9166900013
ARG,MOZ,66938.80339
ARG,MEX,820379.50853
ARG,UKR,29262.2885
ARG,ISR,182738.69237
ARG,GIN,200.3265
ARG,BIH,4042.57614
ARG,ZAF,677636.0380400002
ARG,PHL,283507.98256
ARG,GNQ,23257.77148
ARG,URY,1232187.45548
ARG,THA,397332.99103
ARG,BRA,10097997.64689
ARG,POL,562248.1685900001
ARG,UZB,47045.70886
ARG,KAZ,13471.675430000005
ARG,PRY,1054579.9670200006
ARG,AUS,609430.98359
ARG,LVA,144555.75296
ARG,ATG,432.86469
ARG,CZE,67255.59998
ARG,DEU,1344217.7064899998
ARG,NER,11310.649
ARG,CYP,27574.004490000007
ARG,LCA,425.70315
ARG,BOL,621672.1173000004
ARG,GRD,354.78076
ARG,TUR,334796.1567400001
ARG,PAN,68331.35804999998
ARG,BRN,11912.635459999998
ARG,EGY,1071882.2594700002
ARG,CRI,47460.83170000001
ARG,AZE,3707.43007
ARG,TKM,59.35141
ARG,DOM,112406.34285999998
ARG,MKD,6461.75173
ARG,GBR,721084.8875800003
ARG,CAF,526.7859
ARG,KHM,9920.42265
ARG,NZL,116796.41241000002
ARG,FIN,10394.54728
ARG,BFA,1189.84956
ARG,PAK,397883.5659899998
ARG,LTU,41511.10192000001
ARG,SLV,10149.502960000002
ARG,SVK,4422.700330000001
ARG,JOR,213390.75956
ARG,EST,5871.07988
ARG,PRT,46243.13335999999
ARG,SUR,5765.64001
ARG,GMB,136.60652
ARG,SAU,421376.83771
ARG,MYS,839377.46866
ARG,LKA,2889.00008
ARG,LUX,843.98785
ARG,NLD,1213549.6053100002
ARG,SGP,144137.13253
ARG,CMR,33201.434
ARG,LBR,1118.9045299999998
ARG,BHR,2793.86433
ARG,RUS,473000.14896
ARG,IRQ,88324.96875
ARG,TCD,145.92
ARG,MUS,43292.155170000005
ARG,NIC,23444.63788
ARG,BTN,6.669
ARG,AUT,19984.47141
ARG,LBY,71112.62481000001
ARG,MLT,7489.014000000001
ARG,COM,3582.37906
ARG,BGD,277303.39611000003
ARG,ALB,4744.65963
ARG,TZA,5249.93762
ARG,GEO,4650.16399
ARG,AFG,165.19721
ARG,BGR,89270.83916999996
ARG,PER,720389.2206300001
ARG,BDI,17.212
ARG,VNM,1801377.7342200011
ARG,GHA,27897.90599
ARG,MDA,3315.9942
ARG,ESP,1364040.9070200005
ARG,DMA,172.95525
ARG,HND,13686.940210000002
ARG,SYC,441.9796
ARG,KOR,582428.89253
ARG,LBN,94139.28725
ARG,MMR,15669.82766
ARG,RWA,210.96225
ARG,COL,393977.85902
ARG,BEN,5172.43814
ARG,GAB,8942.57143
ARG,KEN,15058.005899999998
ARG,DNK,281596.55052
ARG,AGO,59153.84103999999
ARG,JPN,572675.7296699999
ARG,DZA,1147789.4285
ARG,USA,3434234.21106
ARG,ARE,173720.237
ARG,IDN,1079242.12089
ARG,IRN,721084.49013
ARG,BWA,197.5
ARG,ZMB,388.63827
ARG,HRV,129676.7976
ARG,SLE,1511.3433
ARG,ECU,212380.88743000003
ARG,OMN,29219.164580000004
ARG,GRC,127918.08424
ARG,GTM,68105.13889999999
ARG,SEN,66680.92822
ARG,SWE,56181.19244999999
ARG,QAT,11547.90645
ARG,IRL,232014.17710000003
ARG,TUN,70003.52435999998
ARG,UGA,2370.69027
ARG,CHE,1256754.4424899998
ARG,FRA,364991.16947000014
ARG,LAO,152.7978
ARG,MDG,14025.353250000002
ARG,HTI,3926.60001
ARG,FJI,357.83919000000003
ARG,GUY,2209.54279
ARG,KGZ,302.91234
ARG,ETH,1119.42845
ARG,NOR,16772.87592
ARG,YEM,129467.65371
ARG,NAM,1829.12438
ARG,KNA,3.22022
ARG,BEL,332213.82661
ARG,TTO,11536.538560000005
ARG,MLI,1939.17697
ARG,TGO,274.39822000000004
ARG,SVN,16956.605900000002
ARG,CIV,32588.87525
ARG,CHN,5172144.33286
ARG,MRT,738.07722
ARG,ARM,7475.307830000001
ARG,MDV,688.3759
ARG,JAM,4401.09011
ARG,IND,2003197.2202500005
ARG,NGA,88762.10542
ARG,ZWE,347.605
ARG,BLR,5396.301020000001
ARG,COG,31826.7321
ARG,BHS,1357.75358
NPL,CAN,6950.478000000002
NPL,ITA,9041.632
NPL,PNG,0.146
NPL,HUN,140.62400000000002
NPL,KWT,99.612
NPL,ISL,90.016
NPL,MNG,25.253
NPL,MAR,44.273
NPL,CHL,127.34099999999998
NPL,MOZ,0.987
NPL,MEX,277.953
NPL,UKR,39.861
NPL,ISR,2220.383
NPL,BIH,5.361
NPL,ZAF,439.209
NPL,PHL,13.489
NPL,URY,9.052
NPL,THA,1713.728
NPL,BRA,888.068
NPL,POL,144.17700000000002
NPL,KAZ,8.551
NPL,PRY,13.573
NPL,AUS,4974.974
NPL,LVA,27.799
NPL,ATG,0.39
NPL,CZE,550.52
NPL,DEU,26755.67099999999
NPL,NER,11.524
NPL,CYP,9.298
NPL,BOL,0.045
NPL,TUR,12641.614
NPL,BRN,45.330000000000005
NPL,EGY,21.71
NPL,CRI,6.655
NPL,TJK,0.141
NPL,GBR,20658.370000000003
NPL,KHM,104.261
NPL,NZL,349.408
NPL,FIN,820.8990000000001
NPL,PAK,171.06
NPL,LTU,132.976
NPL,SVK,39.572
NPL,JOR,44.919
NPL,EST,19.576
NPL,PRT,159.249
NPL,SAU,56.638
NPL,MYS,2900.1779999999985
NPL,LKA,373.043
NPL,LUX,44.755
NPL,NLD,3564.252
NPL,SGP,1225.6710000000005
NPL,LBR,1.029
NPL,BHR,54.20199999999999
NPL,RUS,219.545
NPL,IRQ,1.548
NPL,STP,6.573
NPL,MUS,12.999
NPL,BTN,1488.3259999999998
NPL,AUT,1679.407
NPL,LBY,88.639
NPL,MLT,9.839
NPL,BGD,6834.094999999999
NPL,ALB,79.965
NPL,TZA,7.067
NPL,GEO,31.562
NPL,AFG,9121.724
NPL,BGR,11.639
NPL,PER,2.8320000000000003
NPL,VNM,3478.056
NPL,ESP,3141.266
NPL,KOR,581.601
NPL,LBN,97.04500000000002
NPL,MMR,11.787
NPL,RWA,6.613
NPL,COL,20.4
NPL,KEN,3.11
NPL,DNK,2087.782
NPL,JPN,8374.686
NPL,DZA,0.099
NPL,USA,70399.029
NPL,ARE,1679.762
NPL,IDN,55.726000000000006
NPL,ZMB,1.804
NPL,HRV,104.194
NPL,SLE,0.278
NPL,ECU,8.119
NPL,OMN,7.153
NPL,GRC,186.006
NPL,SWE,984.507
NPL,QAT,41.019
NPL,IRL,177.32500000000002
NPL,TUN,0.141
NPL,UGA,32.226
NPL,CHE,3053.3340000000003
NPL,FRA,10057.978
NPL,LAO,3.328
NPL,HTI,2.227
NPL,KGZ,0.097
NPL,ETH,2.533
NPL,NOR,1786.3349999999996
NPL,NAM,0.968
NPL,BEL,1928.497
NPL,MLI,51.562
NPL,SVN,327.112
NPL,CHN,11475.991
NPL,MDV,0.567
NPL,JAM,11.218
NPL,IND,418995.15
NPL,NGA,0.54
NPL,ZWE,11.136
NPL,BLR,1.268
NPL,COG,1.296
NPL,BHS,8.623999999999999
VCT,CAN,60.6017986574
VCT,ITA,0.503147645
VCT,HUN,1.811331522
VCT,MEX,544.7655219006
VCT,BIH,0.896332437
VCT,AUS,4.0793885132000005
VCT,ATG,6490.7520462785
VCT,DEU,4.3545215714
VCT,LCA,7828.6828083464
VCT,GRD,2127.393120752901
VCT,PAN,3.2461708279
VCT,CRI,0.5173883714999999
VCT,DOM,119.8323912786
VCT,GBR,635.1533204016002
VCT,SUR,208.24358434880003
VCT,NLD,4.2767549825
VCT,ESP,0.0503147645
VCT,DMA,4209.131524197599
VCT,USA,2002.1652978327
VCT,IRN,1.811331522
VCT,SLE,0.4830217392
VCT,SWE,2.2641644025
VCT,FRA,184.416815583
VCT,HTI,4.5759657944
VCT,GUY,158.11584558769997
VCT,KNA,3276.0621387494007
VCT,TTO,8235.650334711801
VCT,CHN,0.4385069688999999
VCT,JAM,381.8953440302
VCT,IND,34.21403986
CAN,ARG,235975.1512313342
CAN,NPL,17410.668753364444
CAN,VCT,5957.245217748719
CAN,ITA,1768862.6809664962
CAN,SWZ,2300.86197325306
CAN,PNG,13178.3851697687
CAN,HUN,72798.83093311946
CAN,KWT,131233.6245663697
CAN,ISL,66829.90988694328
CAN,MNG,6816.80199174562
CAN,MAR,238256.89777177147
CAN,CHL,612011.4346860164
CAN,MOZ,34760.6954979642
CAN,MEX,5061807.188749871
CAN,UKR,159274.44184575183
CAN,ISR,262777.462952213
CAN,GIN,10705.82936485678
CAN,BIH,1880.7379361442
CAN,ZAF,476219.7911103237
CAN,PHL,567619.7409553177
CAN,GNQ,3079.791213107
CAN,URY,58778.68519909482
CAN,THA,685048.2672331585
CAN,BRA,1728846.919032615
CAN,POL,345783.0359656995
CAN,UZB,10951.08748825042
CAN,KAZ,91517.73627821296
CAN,PRY,15435.901353757778
CAN,AUS,1410010.619981153
CAN,LVA,22832.89859294276
CAN,ATG,7983.293306504321
CAN,CZE,149960.51488861794
CAN,DEU,2506897.9694559183
CAN,NER,4574.716648958681
CAN,CYP,6227.308803735041
CAN,LCA,7379.40446835242
